game_track_id,game_track_name,meta_class,mapping_source
Bannochbrae1-5,Bannochbrae_Road_Circuit,Caterham GrA,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Ginetta G40 Cup,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,GT5,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Caterham GrB,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,TSI Cup,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,ARC,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Caterham GrC,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Copa Classic (Class: B),track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Copa Classic (Class: FL),track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Copa Fusca,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Copa Uno,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Group C,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,GT1,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,GTE,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,P1,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,DPi,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,P2,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,P3,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,P4,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,GT3,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,GT4,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Carrera Cup,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Ginetta G55 Supercup,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Copa Montana,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,GT5,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Super Kart,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Karting 125CC,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Karting GX390,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Karting Shifter,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Karting Rental,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Ultimate Gen1,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Ultimate Gen2,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Reiza,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula V10 G1,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula V10 G2,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula V12,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,F-USA Gen.1,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,F-USA Gen.2,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,F-USA Gen.3,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Classic G1,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Classic G2,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Classic G3,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,F3,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,FTS,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,FormulaVee Brazil,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Street Cars A,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Street Cars B,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Ultima,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Sprint Race,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Lancer Cup,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Street Cars C,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Stock Car Brasil 19 GrA,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Stock Car Brasil 20 GrA,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Stock Car Brasil 21 GrA,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Old Stock Race 79,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Stock Car Brasil 86 GrB,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Super V8,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,M1 PROCAR,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Stock Car Brasil 99 GrC,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Copa Truck,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Group A,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Hot Cars,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Hot Cars,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,JCW,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,TSI Cup,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Retro G3,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Retro G1,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Retro G2,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Vintage G1,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Formula Vintage G2,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,GT Classics,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Vintage Touring Cars T1,track-type-fallback
Bannochbrae1-5,Bannochbrae_Road_Circuit,Vintage Touring Cars T2,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Copa Classic (Class: B),track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Copa Classic (Class: FL),track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Copa Fusca,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Copa Uno,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Copa Montana,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,F-USA Gen.1,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,F-USA Gen.2,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,F-USA Gen.3,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Stock Car Brasil 19 GrA,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Stock Car Brasil 20 GrA,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Stock Car Brasil 21 GrA,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Old Stock Race 79,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Stock Car Brasil 86 GrB,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Super V8,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Stock Car Brasil 99 GrC,track-type-fallback
Indianapolis_Oval-44,Indianapolis_Motor_Speedway,Copa Truck,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Caterham GrA,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Ginetta G40 Cup,track-type-fallback
California_Highway_Full-14,California_Highway_Full,GT5,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Caterham GrB,track-type-fallback
California_Highway_Full-14,California_Highway_Full,TSI Cup,track-type-fallback
California_Highway_Full-14,California_Highway_Full,ARC,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Caterham GrC,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Copa Classic (Class: B),track-type-fallback
California_Highway_Full-14,California_Highway_Full,Copa Classic (Class: FL),track-type-fallback
California_Highway_Full-14,California_Highway_Full,Copa Fusca,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Copa Uno,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Group C,track-type-fallback
California_Highway_Full-14,California_Highway_Full,GT1,track-type-fallback
California_Highway_Full-14,California_Highway_Full,GTE,track-type-fallback
California_Highway_Full-14,California_Highway_Full,P1,track-type-fallback
California_Highway_Full-14,California_Highway_Full,DPi,track-type-fallback
California_Highway_Full-14,California_Highway_Full,P2,track-type-fallback
California_Highway_Full-14,California_Highway_Full,P3,track-type-fallback
California_Highway_Full-14,California_Highway_Full,P4,track-type-fallback
California_Highway_Full-14,California_Highway_Full,GT3,track-type-fallback
California_Highway_Full-14,California_Highway_Full,GT4,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Carrera Cup,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Ginetta G55 Supercup,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Copa Montana,track-type-fallback
California_Highway_Full-14,California_Highway_Full,GT5,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Super Kart,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Karting 125CC,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Karting GX390,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Karting Shifter,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Karting Rental,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Ultimate Gen1,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Ultimate Gen2,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Reiza,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula V10 G1,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula V10 G2,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula V12,track-type-fallback
California_Highway_Full-14,California_Highway_Full,F-USA Gen.1,track-type-fallback
California_Highway_Full-14,California_Highway_Full,F-USA Gen.2,track-type-fallback
California_Highway_Full-14,California_Highway_Full,F-USA Gen.3,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Classic G1,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Classic G2,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Classic G3,track-type-fallback
California_Highway_Full-14,California_Highway_Full,F3,track-type-fallback
California_Highway_Full-14,California_Highway_Full,FTS,track-type-fallback
California_Highway_Full-14,California_Highway_Full,FormulaVee Brazil,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Street Cars A,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Street Cars B,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Ultima,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Sprint Race,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Lancer Cup,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Street Cars C,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Stock Car Brasil 19 GrA,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Stock Car Brasil 20 GrA,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Stock Car Brasil 21 GrA,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Old Stock Race 79,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Stock Car Brasil 86 GrB,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Super V8,track-type-fallback
California_Highway_Full-14,California_Highway_Full,M1 PROCAR,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Stock Car Brasil 99 GrC,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Copa Truck,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Group A,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Hot Cars,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Hot Cars,track-type-fallback
California_Highway_Full-14,California_Highway_Full,JCW,track-type-fallback
California_Highway_Full-14,California_Highway_Full,TSI Cup,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Retro G3,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Retro G1,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Retro G2,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Vintage G1,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Formula Vintage G2,track-type-fallback
California_Highway_Full-14,California_Highway_Full,GT Classics,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Vintage Touring Cars T1,track-type-fallback
California_Highway_Full-14,California_Highway_Full,Vintage Touring Cars T2,track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,Caterham GrA,track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,Ginetta G40 Cup,track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,GT5,track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,Caterham GrB,track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,TSI Cup,track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,ARC,track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,Caterham GrC,track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,Copa Classic (Class: B),track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,Copa Classic (Class: FL),track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,Copa Fusca,track-type-fallback
California_Highway_Stage2-12,California_Highway_Stage2,Copa Uno,track-type-fallback
